,ADDRESS,FIRST APPROACH,SECOND APPROACH,GO-LIVE DATE,Lat,Lng,LOCATION,Region ID,Region Name
136,1110 S Pulaski Rd (Speed Camera),SB,,09/05/2014,41.867602722432935,-87.7253827433152,"(41.86760272243294, -87.7253827433152)",10,Humboldt-Garfield Prk E/W
137,7518 S Vincennes (Speed Camera),NB,SB,02/17/2014,41.75749703994495,-87.63183332832695,"(41.75749703994495, -87.63183332832696)",23,Auburn Gresham-Chatham
138,2108 S Western Ave (Speed Camera),SB,,04/25/2014,41.85357262243016,-87.6858278546488,"(41.853572622430164, -87.6858278546488)",14,Lawndale N/S
139,1507 W 83rd St (Speed Camera),EB,WB,10/11/2014,41.742993034938884,-87.66113775973551,"(41.742993034938884, -87.66113775973551)",23,Auburn Gresham-Chatham
140,449 N Columbus Dr (Speed Camera),NB,,05/18/2014,41.89003775504898,-87.62017903427099,"(41.89003775504898, -87.62017903427099)",29,Downtown Lakefront
141,6226 W Irving Park Rd (Speed Camera),EB,WB,04/26/2014,41.95307482555687,-87.78282553773762,"(41.95307482555687, -87.78282553773761)",5,Dunning-Portage-Belmont Cragn
142,3200 S Archer Ave (Speed Camera),WB,EB,11/09/2015,41.83595801848586,-87.66879026653764,"(41.83595801848586, -87.66879026653764)",15,Bridgeport-McKinley-Lower West
143,4042 W North Ave (Speed Camera),WB,,11/09/2015,41.90997242450237,-87.72805040969816,"(41.90997242450237, -87.72805040969816)",7,Hermosa-Logan Square
144,4053 W North Ave (Speed Camera),EB,,11/09/2015,41.90974567444195,-87.72856329512945,"(41.90974567444195, -87.72856329512945)",7,Hermosa-Logan Square
145,5120 N Pulaski Rd (Speed Camera),NB,SB,08/26/2013,41.97433265461055,-87.728215,"(41.97433265461055, -87.728215)",3,North Park-Albany-Linconl Sq
146,324 E Illinois St (Speed Camera),EB,,04/14/2014,41.89091009572781,-87.61934752145962,"(41.89091009572781, -87.61934752145963)",29,Downtown Lakefront
147,2603 W 79th (Speed Camera),EB,,01/08/2014,41.74985294026319,-87.68798347502597,"(41.74985294026319, -87.68798347502599)",22,Ashburn
148,5006 S Western Blvd (Speed Camera),NB,SB,01/08/2018,41.802794,-87.683753,"(41.802794, -87.683753)",18,South West Side
149,1754 N Pulaski Rd (Speed Camera),SB,NB,11/09/2015,41.913374830501255,-87.72658859994081,"(41.91337483050126, -87.72658859994081)",7,Hermosa-Logan Square
150,8020 W Forest Preserve Ave (Speed Camera),EB,WB,07/16/2018,41.944352,-87.827241,"(41.944352, -87.827241)",5,Dunning-Portage-Belmont Cragn
151,8043 W Addison St (Speed Camera),,EB,07/16/2018,41.944928000000004,-87.827727,"(41.944928, -87.827727)",5,Dunning-Portage-Belmont Cragn
152,3911 W Diversey Ave (Speed Camera),EB,WB,07/16/2018,41.931868,-87.724595,"(41.931868, -87.724595)",6,Irving Park-Avondale-North Ctr
153,8006 W Addison St (Speed Camera),WB,,07/16/2018,41.945054,-87.827043,"(41.945054, -87.827043)",5,Dunning-Portage-Belmont Cragn
154,7122 S South Chicago Ave (Speed Camera),SEB,,08/20/2018,41.765164,-87.604804,"(41.765164, -87.604804)",21,Hyde Park-Kenwood-Woodlawn
155,7157 S South Chicago Ave (Speed Camera),NWB,,08/20/2018,41.764716,-87.60374200000001,"(41.764716, -87.603742)",21,Hyde Park-Kenwood-Woodlawn
156,819 E 71st St (Speed Camera),EB,WB,08/20/2018,41.765836,-87.605866,"(41.765836, -87.605866)",21,Hyde Park-Kenwood-Woodlawn
157,1455 W Division St(Speed Camera),EB,,09/05/2018,41.903290000000005,-87.664873,"(41.90329, -87.664873)",11,West Town-Near West
158,1444 W Division St(Speed Camera),WB,,09/05/2018,41.903482000000004,-87.664378,"(41.903482, -87.664378)",11,West Town-Near West
159,4246 W 47th St(Speed Camera),WB,,08/27/2018,41.807853,-87.73012800000001,"(41.807853, -87.730128)",18,South West Side
160,4319 W 47th St(Speed Camera),EB,,08/27/2018,41.807645,-87.731753,"(41.807645, -87.731753)",18,South West Side
